map
	ez_horizon
end

values
	1.51829400,0.13204060,1.25360000,11.40207000,33.07500000,16.80000000,0,0,1,0,
	1.52424600,0.13204060,1.25360000,11.40207000,33.07500000,18.30000000,0,0,1,0,
	1.52992300,0.13204060,1.25360000,11.40207000,33.07501000,19.50000000,0,0,1,0,
	1.53697100,0.20536540,1.33860000,11.55588000,33.00000000,20.77500000,0,0,1,0,
	1.54223000,0.20536540,1.33860000,11.55588000,33.00001000,22.20000000,0,0,1,0,
	1.54822700,0.20536540,1.33860000,11.55588000,33.00000000,23.02500000,0,0,1,0,
	1.55390000,0.20536540,1.33860000,11.55588000,33.00001000,23.85000000,0,0,1,0,
	1.55938300,0.28953740,1.41720000,11.70502000,33.00000000,24.75001000,0,0,1,0,
	1.56715700,0.28953740,1.41720000,11.70502000,33.00000000,25.35000000,0,0,1,1,
	1.57531000,0.37532530,1.48940000,11.85340000,33.07500000,26.10001000,0,0,1,1,
	1.58141600,0.37532530,1.48940000,11.85340000,33.07501000,26.70000000,0,0,0,1,
	1.58883500,0.37532530,1.48940000,11.85340000,33.15002000,27.00001000,0,0,0,1,
	1.59387600,0.37532530,1.48940000,11.85340000,33.15001000,27.07501000,0,0,0,1,
	1.59868300,0.44075870,1.55520000,12.01216000,33.15001000,27.15001000,0,0,0,1,
	1.60381100,0.44075870,1.55520000,12.01216000,33.22501000,27.15001000,0,0,0,1,
	1.60762100,0.44075870,1.55520000,12.01216000,33.22501000,27.15001000,0,0,0,1,
	1.61252300,0.44075870,1.55520000,12.01216000,33.30001000,27.07501000,0,0,0,1,
	1.61694700,0.50579250,1.61459900,12.17113000,33.37501000,26.92500000,0,0,0,1,
	1.62428000,0.50579250,1.61459900,12.17113000,33.45001000,26.77501000,0,0,0,1,
	1.62938000,0.50579250,1.61459900,12.17113000,33.67501000,26.40001000,0,0,0,1,
	1.63747200,0.56861640,1.66759900,12.33119000,33.75001000,26.10001000,0,0,0,1,
	1.64430800,0.56861640,1.66759900,12.33119000,34.05001000,25.20000000,0,0,0,1,
	1.65152100,0.56861640,1.66759900,12.33119000,34.20001000,24.52501000,0,0,0,1,
	1.65703200,0.62427470,1.71419900,12.49450000,34.50001000,23.47501000,0,0,0,1,
	1.66543000,0.62427470,1.71419900,12.49450000,34.65001000,22.65001000,0,0,0,1,
	1.67142100,0.62427470,1.71419900,12.49450000,34.95001000,21.22501000,0,0,0,1,
	1.67940100,0.67004210,1.75439900,12.66161000,35.17501000,19.95001000,0,0,0,1,
	1.68716200,0.67004210,1.75439900,12.66161000,35.40001000,18.30001000,0,0,0,1,
	1.69218700,0.67004210,1.75439900,12.66161000,35.70000000,16.35001000,0,0,0,1,
