map
	ez_training
end

values
	0.98723550,8.01690300,1.01060000,8.30758600,21.24999000,180.80020000,1,0,0,0,
	0.99271510,8.01690300,1.01060000,8.30758600,21.24999000,180.80020000,1,0,0,0,
	0.99953440,8.01690300,1.01060000,8.30758600,21.24999000,180.80020000,1,0,0,0,
	1.00582500,8.01457700,1.11480000,8.15360400,21.24999000,180.80020000,1,0,0,0,
	1.00923300,8.01457700,1.11480000,8.15360400,21.24999000,180.80020000,1,0,0,0,
	1.01253900,8.01457700,1.11480000,8.15360400,21.24999000,180.80020000,1,0,0,0,
	1.01536600,8.01457700,1.11480000,8.15360400,21.24999000,180.80020000,1,0,0,0,
	1.01964900,8.01457700,1.11480000,8.15360400,21.24999000,180.80020000,1,0,0,0,
	1.02209200,8.01457700,1.11480000,8.15360400,21.24999000,180.80020000,1,0,0,0,
	1.02490100,8.01225100,1.21260000,7.99962100,21.24999000,180.80020000,1,0,0,0,
	1.02869500,8.01225100,1.21260000,7.99962100,21.24999000,180.80020000,1,0,0,0,
	1.03161000,8.01225100,1.21260000,7.99962100,21.24999000,180.80020000,1,0,0,0,
	1.03584600,8.01225100,1.21260000,7.99962100,21.24999000,180.80020000,1,0,0,0,
	1.03870300,8.01225100,1.21260000,7.99962100,21.24999000,180.80020000,1,0,0,0,
	1.04310100,8.01225100,1.21260000,7.99962100,21.24999000,180.80020000,1,0,1,0,
	1.04897000,8.00992500,1.30400000,7.84563800,21.24999000,180.80020000,1,0,1,0,
	1.05294800,8.00992500,1.30400000,7.84563800,21.24999000,180.80020000,1,0,1,0,
	1.05714200,8.00992500,1.30400000,7.84563800,21.24999000,180.80020000,0,0,1,0,
	1.06254100,8.00992500,1.30400000,7.84563800,21.24999000,180.80020000,0,0,1,0,
	1.06615300,7.99377500,1.38900000,7.69184900,21.24999000,180.80020000,0,0,1,0,
	1.07032300,7.99377500,1.38900000,7.69184900,21.24999000,180.80020000,0,0,1,0,
	1.07289500,7.99377500,1.38900000,7.69184900,21.24999000,180.80020000,0,0,1,0,
	1.07623000,7.99377500,1.38900000,7.69184900,21.24999000,180.80020000,0,0,1,0,
	1.07984000,7.99377500,1.38900000,7.69184900,21.24999000,180.80020000,0,0,1,0,
	1.08302300,7.99377500,1.38900000,7.69184900,21.24999000,180.80020000,0,0,1,0,
	1.08561600,7.97762600,1.46760000,7.53805900,21.24999000,180.80020000,0,0,1,0,
	1.08913600,7.97762600,1.46760000,7.53805900,21.24999000,180.80020000,0,0,1,0,
	1.09181200,7.97762600,1.46760000,7.53805900,21.24999000,180.80020000,0,0,1,0,
	1.09498600,7.97762600,1.46760000,7.53805900,21.24999000,180.80020000,0,0,1,0,
	1.09810400,7.97762600,1.46760000,7.53805900,21.24999000,180.80020000,0,0,1,0,
	1.10067800,7.97762600,1.46760000,7.53805900,21.24999000,180.80020000,0,0,1,0,
